OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=16.630s, table=0, n_packets=5, n_bytes=270, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=50,vlan_tci=0x0000/0x1fff,dl_src=a2:b9:f5:37:06:0e,dl_dst=ce:8e:5c:20:92:41,nw_src=10.20.0.254,nw_dst=10.20.0.10,nw_tos=0,tp_src=64211,tp_dst=80 actions=output:10
 cookie=0x0, duration=16.626s, table=0, n_packets=5, n_bytes=270, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=10,vlan_tci=0x0000/0x1fff,dl_src=ce:8e:5c:20:92:41,dl_dst=a2:b9:f5:37:06:0e,nw_src=10.20.0.10,nw_dst=10.20.0.254,nw_tos=0,tp_src=80,tp_dst=64211 actions=output:50
 cookie=0x0, duration=15.629s, table=0, n_packets=5, n_bytes=270, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=11,vlan_tci=0x0000/0x1fff,dl_src=b2:36:06:ea:83:3d,dl_dst=a2:b9:f5:37:06:0e,nw_src=10.20.0.11,nw_dst=10.20.0.254,nw_tos=0,tp_src=80,tp_dst=64211 actions=output:50
 cookie=0x0, duration=9.978s, table=0, n_packets=1, n_bytes=58, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=10,vlan_tci=0x0000/0x1fff,dl_src=ce:8e:5c:20:92:41,dl_dst=26:2f:48:71:82:eb,nw_src=10.20.0.11,nw_dst=10.20.0.12,nw_tos=0,tp_src=55669,tp_dst=18988 actions=output:12
 cookie=0x0, duration=9.976s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=12,vlan_tci=0x0000/0x1fff,dl_src=26:2f:48:71:82:eb,dl_dst=b2:36:06:ea:83:3d,nw_src=10.20.0.12,nw_dst=10.20.0.11,nw_tos=0,tp_src=18988,tp_dst=55669 actions=output:11
 cookie=0x0, duration=9.877s, table=0, n_packets=1, n_bytes=58, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=10,vlan_tci=0x0000/0x1fff,dl_src=ce:8e:5c:20:92:41,dl_dst=26:2f:48:71:82:eb,nw_src=10.20.0.11,nw_dst=10.20.0.12,nw_tos=0,tp_src=55670,tp_dst=18988 actions=output:12
 cookie=0x0, duration=9.876s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=12,vlan_tci=0x0000/0x1fff,dl_src=26:2f:48:71:82:eb,dl_dst=b2:36:06:ea:83:3d,nw_src=10.20.0.12,nw_dst=10.20.0.11,nw_tos=0,tp_src=18988,tp_dst=55670 actions=output:11
 cookie=0x0, duration=9.777s, table=0, n_packets=1, n_bytes=58, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=10,vlan_tci=0x0000/0x1fff,dl_src=ce:8e:5c:20:92:41,dl_dst=26:2f:48:71:82:eb,nw_src=10.20.0.11,nw_dst=10.20.0.12,nw_tos=0,tp_src=55669,tp_dst=617 actions=output:12
 cookie=0x0, duration=9.776s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=12,vlan_tci=0x0000/0x1fff,dl_src=26:2f:48:71:82:eb,dl_dst=b2:36:06:ea:83:3d,nw_src=10.20.0.12,nw_dst=10.20.0.11,nw_tos=0,tp_src=617,tp_dst=55669 actions=output:11
 cookie=0x0, duration=9.677s, table=0, n_packets=1, n_bytes=58, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=10,vlan_tci=0x0000/0x1fff,dl_src=ce:8e:5c:20:92:41,dl_dst=26:2f:48:71:82:eb,nw_src=10.20.0.11,nw_dst=10.20.0.12,nw_tos=0,tp_src=55670,tp_dst=617 actions=output:12
 cookie=0x0, duration=9.676s, table=0, n_packets=1, n_bytes=54, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=12,vlan_tci=0x0000/0x1fff,dl_src=26:2f:48:71:82:eb,dl_dst=b2:36:06:ea:83:3d,nw_src=10.20.0.12,nw_dst=10.20.0.11,nw_tos=0,tp_src=617,tp_dst=55670 actions=output:11
